,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,1.391,"[0.778, 0.499]",1.073,"[0.988, 1.118]","[0.909, 1.557]","[0.681, 3.279]",1.034
beta/eta,26.366,"[5.264, 4.388]",26.703,"[26.703, 27.24]","[24.172, 27.788]","[17.93, 33.242]",26.419
xc^2/epsilon,0.841,"[0.534, 0.326]",0.63,"[0.6, 0.696]","[0.517, 0.937]","[0.384, 2.283]",0.591
xc,6.345,"[7.059, 3.341]",6.462,"[5.999, 6.961]","[4.456, 9.372]","[1.966, 26.542]",7.905
eta,4.414,"[3.653, 1.999]",7.501,"[7.014, 8.022]","[4.384, 8.579]","[1.309, 10.493]",7.647
beta,118.565,"[83.145, 48.873]",196.168,"[185.65, 219.027]","[133.38, 244.548]","[44.301, 244.548]",202.021
epsilon,42.555,"[104.146, 30.211]",85.005,"[74.044, 97.589]","[28.171, 112.036]","[4.681, 338.073]",105.766
sqrt(xc/eta),1.204,"[0.321, 0.254]",1.015,"[0.994, 1.08]","[0.954, 1.274]","[0.825, 1.887]",1.017
s= eta^0.5*xc^1.5/epsilon,0.731,"[0.244, 0.183]",0.604,"[0.586, 0.639]","[0.538, 0.76]","[0.466, 1.314]",0.581
beta*xc/epsilon,15.876,"[2.952, 2.489]",15.561,"[15.312, 15.815]","[14.124, 16.334]","[12.411, 21.846]",15.098
eta*xc/epsilon,0.609,"[0.0377, 0.0355]",0.6,"[0.595, 0.606]","[0.578, 0.617]","[0.552, 0.684]",0.571
Fx=beta^2/eta*xc,454.558,"[597.421, 258.144]",645.397,"[554.136, 696.518]","[324.997, 811.229]","[82.41, 1876.3]",675.196
Dx =beta*epsilon/eta*xc^2,28.696,"[29.1, 14.448]",41.064,"[36.072, 43.814]","[21.478, 53.218]","[7.136, 101.751]",44.72
Pk=beta*k/epsilon,1.258,"[1.713, 0.725]",1.25,"[1.143, 1.367]","[0.799, 1.788]","[0.25, 5.23]",0.955
Fk=beta^2/eta*k,6336.095,"[4170.971, 2515.228]",9728.479,"[8653.157, 10315.259]","[5742.861, 10937.431]","[2385.617, 13824.71]",10674.356
Dk =beta*epsilon/eta*k^2,4872.532,"[10556.762, 3333.799]",10082.104,"[8897.597, 11424.3]","[3709.572, 12945.178]","[569.046, 31049.671]",11176.942
Fk^2/Dk=beta^3/eta*epsilon,8182.532,"[11419.616, 4766.895]",10350.148,"[9468.782, 11313.552]","[5551.107, 13517.731]","[1336.414, 42991.758]",10194.369
best fit_MedianLifetime,13.9,0.5099999999999998,13.9,"[13.41, 14.41]","[13.41, 14.41]","[13.41, 14.41]",13.9
best fit_MaxLifetime,20.0,0,20.0,"[20.0, 20.0]","[20.0, 20.0]","[20.0, 20.0]",20.0
data_MedianLifetime,13.54,0.5299999999999994,13.54,"[13.059999999999999, 14.069999999999999]","[13.059999999999999, 14.069999999999999]","[13.059999999999999, 14.069999999999999]",13.54
data_MaxLifetime,21.34,0,21.34,"[21.34, 21.34]","[21.34, 21.34]","[21.34, 21.34]",21.34
