,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,3.443,"[2.153, 1.325]",3.841,"[3.546, 4.33]","[2.474, 4.882]","[1.471, 8.894]",2.25
beta/eta,17.53,"[3.002, 2.563]",17.017,"[16.725, 17.616]","[15.606, 19.209]","[13.126, 23.643]",20.702
xc^2/epsilon,2.588,"[2.008, 1.131]",2.851,"[2.59, 3.294]","[1.681, 3.804]","[0.944, 7.821]",1.579
xc,16.018,"[22.435, 9.346]",20.379,"[17.615, 25.359]","[9.142, 31.556]","[3.296, 75.661]",6.478
eta,4.216,"[5.569, 2.399]",10.273,"[8.005, 10.933]","[3.789, 11.637]","[0.849, 14.932]",2.879
beta,75.429,"[93.638, 41.777]",196.406,"[157.72, 219.174]","[86.277, 244.582]","[16.649, 244.582]",59.593
epsilon,77.973,"[336.782, 63.314]",135.539,"[119.329, 225.6]","[43.072, 484.453]","[2.968, 1181.634]",26.577
sqrt(xc/eta),1.934,"[0.524, 0.412]",2.04,"[1.921, 2.081]","[1.67, 2.3]","[1.237, 3.043]",1.5
s= eta^0.5*xc^1.5/epsilon,1.473,"[0.576, 0.414]",1.474,"[1.391, 1.562]","[1.203, 1.859]","[0.802, 2.709]",1.052
beta*xc/epsilon,12.961,"[1.318, 1.197]",12.326,"[12.168, 12.486]","[11.857, 12.98]","[11.406, 15.964]",14.524
eta*xc/epsilon,0.761,"[0.0749, 0.0682]",0.746,"[0.739, 0.761]","[0.703, 0.792]","[0.643, 0.91]",0.702
Fx=beta^2/eta*xc,76.234,"[87.706, 40.784]",71.451,"[62.622, 81.525]","[45.031, 121.1]","[17.887, 304.882]",190.459
Dx =beta*epsilon/eta*xc^2,5.911,"[6.052, 2.99]",5.396,"[4.768, 6.107]","[3.722, 9.42]","[1.564, 21.066]",13.113
Pk=beta*k/epsilon,0.427,"[0.704, 0.266]",0.29,"[0.245, 0.344]","[0.206, 0.742]","[0.0741, 2.449]",1.121
Fk=beta^2/eta*k,2789.794,"[3392.152, 1530.813]",5373.74,"[4487.527, 6059.774]","[2317.493, 6434.967]","[548.102, 8689.518]",2467.401
Dk =beta*epsilon/eta*k^2,6755.124,"[24800.114, 5309.035]",24019.138,"[18971.503, 34216.921]","[4606.464, 38500.712]","[305.582, 78133.228]",2200.807
Fk^2/Dk=beta^3/eta*epsilon,1160.834,"[1546.992, 663.189]",1012.478,"[939.753, 1266.195]","[647.374, 1980.299]","[228.009, 5218.709]",2766.288
best fit_MedianLifetime,12.49,0.5099999999999998,12.49,"[12.0, 13.0]","[12.0, 13.0]","[12.0, 13.0]",12.49
best fit_MaxLifetime,19.86,0,19.86,"[19.86, 19.86]","[19.86, 19.86]","[19.86, 19.86]",19.86
data_MedianLifetime,12.06,0.5199999999999996,12.06,"[11.58, 12.58]","[11.58, 12.58]","[11.58, 12.58]",12.06
data_MaxLifetime,19.87,0,19.87,"[19.87, 19.87]","[19.87, 19.87]","[19.87, 19.87]",19.87
