,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,13.844,"[3.509, 2.799]",11.74,"[11.74, 11.74]","[10.521, 11.74]","[7.999, 13.1]",13.647
beta/eta,97.223,"[2.232, 2.182]",97.148,"[97.148, 97.148]","[95.773, 98.543]","[94.417, 102.848]",97.659
xc^2/epsilon,2.949,"[0.712, 0.574]",2.571,"[2.571, 2.571]","[2.421, 2.729]","[1.593, 6.308]",2.914
xc,65.508,"[30.228, 20.684]",54.323,"[54.323, 54.323]","[50.389, 54.323]","[20.443, 58.564]",66.222
ExtH,8.831,"[0.477, 0.452]",8.927,"[8.927, 8.927]","[8.899, 8.955]","[8.816, 9.011]",8.976
eta,4.588,"[1.248, 0.981]",1.154,"[1.154, 1.254]","[0.829, 1.254]","[0.428, 4.706]",4.853
beta,450.627,"[114.974, 91.602]",98.493,"[98.493, 106.788]","[83.785, 115.782]","[55.921, 147.568]",473.9
epsilon,1474.794,"[1279.282, 685.049]",1178.911,"[1178.911, 1178.911]","[1002.213, 1178.911]","[38.953, 3123.262]",1504.783
sqrt(xc/eta),3.72,"[0.437, 0.391]",3.426,"[3.426, 3.426]","[3.334, 3.521]","[2.828, 3.619]",3.694
s= eta^0.5*xc^1.5/epsilon,0.8,"[0.0848, 0.0767]",0.793,"[0.793, 0.793]","[0.759, 0.793]","[0.696, 0.864]",0.789
beta*xc/epsilon,21.177,"[1.103, 1.048]",21.907,"[21.907, 21.907]","[21.095, 21.907]","[20.313, 22.75]",20.855
eta*xc/epsilon,0.216,"[0.00494, 0.00483]",0.222,"[0.222, 0.222]","[0.222, 0.222]","[0.222, 0.239]",0.214
Fx=beta^2/eta*xc,695.05,"[207.57, 159.836]",924.724,"[924.724, 924.724]","[863.74, 990.013]","[753.573, 1134.746]",698.869
Dx =beta*epsilon/eta*xc^2,33.903,"[9.171, 7.219]",36.931,"[36.931, 36.931]","[36.931, 39.499]","[30.185, 63.239]",33.51
Pk=beta*k/epsilon,0.165,"[0.0754, 0.0517]",0.198,"[0.198, 0.198]","[0.178, 0.22]","[0.16, 0.574]",0.157
Fk=beta^2/eta*k,92269.364,"[19995.581, 16434.156]",74598.109,"[74598.109, 74598.109]","[68787.119, 74598.109]","[12527.735, 87734.257]",92561.213
Dk =beta*epsilon/eta*k^2,559413.373,"[448895.724, 249048.9]",436368.735,"[436368.735, 436368.735]","[317160.267, 436368.735]","[17951.68, 600383.128]",587822.708
Fk^2/Dk=beta^3/eta*epsilon,14821.098,"[5073.953, 3779.913]",18590.354,"[18590.354, 18590.354]","[16791.144, 25229.566]","[6717.597, 34239.854]",14575.106
best fit_MedianLifetime,76.53,0.5100000000000051,76.53,"[76.04, 77.04]","[76.04, 77.04]","[76.04, 77.04]",76.53
best fit_MaxLifetime,98.45,0,98.45,"[98.45, 98.45]","[98.45, 98.45]","[98.45, 98.45]",98.45
data_MedianLifetime,68.0,0.5100000000000051,68.0,"[67.5, 68.51]","[67.5, 68.51]","[67.5, 68.51]",68.0
data_MaxLifetime,106.0,0,106.0,"[106.0, 106.0]","[106.0, 106.0]","[106.0, 106.0]",106.0
