,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,7.365,"[1.721, 1.395]",7.441,"[7.441, 7.441]","[7.441, 7.441]","[5.195, 12.753]",6.607
beta/eta,105.942,"[1.96, 1.924]",106.533,"[106.533, 106.533]","[106.533, 106.533]","[98.797, 108.56]",106.418
xc^2/epsilon,1.542,"[0.327, 0.27]",1.555,"[1.555, 1.555]","[1.555, 1.555]","[1.159, 2.639]",1.343
xc,29.012,"[10.876, 7.91]",24.221,"[24.221, 24.221]","[24.221, 24.221]","[18.139, 61.988]",35.589
ExtH,7.127,"[0.354, 0.337]",6.973,"[6.973, 6.973]","[6.973, 6.973]","[6.651, 7.811]",7.802
eta,3.588,"[0.743, 0.615]",3.231,"[3.231, 3.231]","[3.231, 3.231]","[2.81, 5.641]",5.387
beta,371.633,"[73.218, 61.167]",335.999,"[335.999, 335.999]","[335.999, 335.999]","[293.814, 537.364]",573.253
epsilon,441.977,"[357.939, 197.772]",326.744,"[326.744, 326.744]","[326.744, 326.744]","[282.912, 1840.334]",942.903
sqrt(xc/eta),2.75,"[0.348, 0.309]",2.728,"[2.728, 2.728]","[2.728, 2.728]","[2.279, 3.792]",2.57
s= eta^0.5*xc^1.5/epsilon,0.577,"[0.0602, 0.0545]",0.576,"[0.576, 0.576]","[0.576, 0.576]","[0.51, 0.76]",0.523
beta*xc/epsilon,21.971,"[0.912, 0.876]",22.102,"[22.102, 22.102]","[22.102, 22.102]","[19.802, 24.002]",21.637
eta*xc/epsilon,0.209,"[0.00479, 0.00468]",0.21,"[0.21, 0.21]","[0.21, 0.21]","[0.202, 0.219]",0.203
Fx=beta^2/eta*xc,1479.667,"[438.408, 338.202]",1566.64,"[1566.64, 1566.64]","[1566.64, 1566.64]","[763.469, 2244.181]",1714.166
Dx =beta*epsilon/eta*xc^2,65.802,"[16.303, 13.066]",66.345,"[66.345, 66.345]","[66.345, 66.345]","[39.534, 97.823]",79.225
Pk=beta*k/epsilon,0.381,"[0.184, 0.124]",0.459,"[0.459, 0.459]","[0.459, 0.459]","[0.14, 0.682]",0.304
Fk=beta^2/eta*k,82167.357,"[19928.791, 16038.765]",70967.697,"[70967.697, 70967.697]","[70967.697, 70967.697]","[58276.769, 120014.776]",122009.265
Dk =beta*epsilon/eta*k^2,176343.131,"[109219.189, 67446.061]",145543.327,"[145543.327, 145543.327]","[145543.327, 145543.327]","[72560.301, 509471.738]",401368.673
Fk^2/Dk=beta^3/eta*epsilon,32481.275,"[10958.235, 8193.864]",33379.954,"[33379.954, 33379.954]","[33379.954, 33379.954]","[12805.717, 53892.291]",37088.746
best fit_MedianLifetime,75.12,0.5100000000000051,75.12,"[74.63000000000001, 75.63000000000001]","[74.63000000000001, 75.63000000000001]","[74.63000000000001, 75.63000000000001]",75.12
best fit_MaxLifetime,103.42,0,103.42,"[103.42, 103.42]","[103.42, 103.42]","[103.42, 103.42]",103.42
data_MedianLifetime,68.0,0.5100000000000051,68.0,"[67.5, 68.51]","[67.5, 68.51]","[67.5, 68.51]",68.0
data_MaxLifetime,106.0,0,106.0,"[106.0, 106.0]","[106.0, 106.0]","[106.0, 106.0]",106.0
