,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,4.194,"[1.804, 1.261]",3.298,"[3.298, 3.298]","[3.298, 3.298]","[3.298, 7.143]",5.51
beta/eta,142.264,"[8.534, 8.051]",147.942,"[147.942, 147.942]","[147.942, 147.942]","[130.447, 151.714]",138.823
xc^2/epsilon,0.485,"[0.228, 0.155]",0.374,"[0.374, 0.374]","[0.374, 0.374]","[0.374, 0.86]",0.645
xc,35.956,"[24.099, 14.428]",25.475,"[25.475, 25.475]","[25.475, 25.475]","[20.95, 77.159]",39.15
ExtH,6.685,"[0.0094, 0.00938]",6.691,"[6.691, 6.691]","[6.691, 6.691]","[6.671, 6.691]",6.96
eta,8.668,"[1.418, 1.219]",7.829,"[7.829, 7.829]","[7.829, 7.829]","[5.286, 10.861]",7.105
beta,1250.582,"[149.798, 133.774]",1159.055,"[1159.055, 1159.055]","[1159.055, 1159.055]","[492.726, 1479.948]",986.295
epsilon,2608.88,"[2414.899, 1254.072]",1679.799,"[1679.799, 1679.799]","[1679.799, 1679.799]","[1141.811, 6918.661]",2374.512
sqrt(xc/eta),2.073,"[0.398, 0.334]",1.816,"[1.816, 1.816]","[1.816, 1.816]","[1.816, 2.673]",2.347
s= eta^0.5*xc^1.5/epsilon,0.241,"[0.0563, 0.0456]",0.206,"[0.206, 0.206]","[0.206, 0.206]","[0.206, 0.328]",0.275
beta*xc/epsilon,16.691,"[0.516, 0.5]",17.077,"[17.077, 17.077]","[17.077, 17.077]","[15.969, 17.269]",16.262
eta*xc/epsilon,0.117,"[0.00155, 0.00153]",0.117,"[0.117, 0.117]","[0.117, 0.117]","[0.114, 0.138]",0.117
Fx=beta^2/eta*xc,3774.678,"[1103.334, 853.776]",3527.339,"[3527.339, 3527.339]","[3527.339, 3527.339]","[2396.562, 7230.765]",3497.351
Dx =beta*epsilon/eta*xc^2,228.745,"[63.953, 49.98]",214.316,"[214.316, 214.316]","[214.316, 214.316]","[147.798, 405.242]",215.068
Pk=beta*k/epsilon,0.225,"[0.156, 0.0921]",0.32,"[0.32, 0.32]","[0.32, 0.32]","[0.103, 0.402]",0.208
Fk=beta^2/eta*k,362254.456,"[10649.139, 10345.028]",355277.591,"[355277.591, 355277.591]","[355277.591, 355277.591]","[355277.591, 378206.571]",273841.95
Dk =beta*epsilon/eta*k^2,1558135.972,"[1154248.459, 663060.893]",1073677.379,"[1073677.379, 1073677.379]","[1073677.379, 1073677.379]","[749629.072, 3556027.214]",1318551.994
Fk^2/Dk=beta^3/eta*epsilon,82617.237,"[54232.571, 32740.602]",115960.758,"[115960.758, 115960.758]","[115960.758, 115960.758]","[38978.185, 250344.975]",56872.549
best fit_MedianLifetime,74.37,0.5100000000000051,74.37,"[73.88000000000001, 74.88000000000001]","[73.88000000000001, 74.88000000000001]","[73.88000000000001, 74.88000000000001]",74.37
best fit_MaxLifetime,107.14,0,107.14,"[107.14, 107.14]","[107.14, 107.14]","[107.14, 107.14]",107.14
data_MedianLifetime,68.0,0.5100000000000051,68.0,"[67.5, 68.51]","[67.5, 68.51]","[67.5, 68.51]",68.0
data_MaxLifetime,106.0,0,106.0,"[106.0, 106.0]","[106.0, 106.0]","[106.0, 106.0]",106.0
