,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,1139348.708,"[491348.075, 343299.135]",1306139.704,"[1306139.704, 1306139.704]","[1255373.76, 1358958.567]","[1114610.919, 1592474.747]",871219.643
beta/eta,66200.221,"[10307.348, 8918.708]",58494.193,"[58494.193, 58494.193]","[57516.745, 59488.253]","[55610.576, 61527.338]",73303.341
xc^2/epsilon,550.728,"[251.027, 172.431]",623.53,"[623.53, 623.53]","[623.53, 651.398]","[571.319, 710.927]",421.278
xc,1.82,"[0.784, 0.548]",2.946,"[2.946, 3.094]","[1.631, 3.415]","[1.214, 3.415]",1.422
eta,1.54e-06,"[3.22e-07, 2.67e-07]",1.64e-06,"[1.64e-06, 1.64e-06]","[1.56e-06, 1.73e-06]","[1.41e-06, 2e-06]",1.63e-06
beta,0.111,"[0.019, 0.0162]",0.123,"[0.123, 0.123]","[0.123, 0.123]","[0.114, 0.123]",0.12
epsilon,0.00432,"[0.00189, 0.00132]",0.00932,"[0.00843, 0.00932]","[0.00762, 0.0114]","[0.00339, 0.0126]",0.0048
sqrt(xc/eta),1389.316,"[181.977, 160.902]",1098.445,"[1098.445, 1098.445]","[1098.445, 1142.865]","[1055.751, 1212.885]",933.391
s= eta^0.5*xc^1.5/epsilon,0.7,"[0.101, 0.0879]",0.559,"[0.559, 0.559]","[0.545, 0.559]","[0.532, 0.587]",0.451
beta*xc/epsilon,28.218,"[3.2, 2.874]",27.772,"[27.772, 27.772]","[27.25, 28.846]","[26.236, 39.074]",35.446
eta*xc/epsilon,0.0005,"[5.78e-06, 5.72e-06]",0.000485,"[0.000485, 0.000485]","[0.000481, 0.000489]","[0.000477, 0.000501]",0.000484
Fx=beta^2/eta*xc,1638.803,"[1030.346, 632.611]",2724.974,"[2724.974, 2724.974]","[2724.974, 2917.964]","[2219.267, 3124.623]",6167.652
Dx =beta*epsilon/eta*xc^2,60.094,"[27.113, 18.684]",88.82,"[88.82, 88.82]","[88.82, 94.156]","[74.559, 99.812]",174.002
Pk=beta*k/epsilon,9.738,"[9.304, 4.758]",5.727,"[5.727, 5.727]","[5.353, 6.127]","[4.372, 7.014]",12.466
Fk=beta^2/eta*k,11528.541,"[4006.715, 2973.339]",13679.884,"[13679.884, 13679.884]","[13133.541, 14248.954]","[10712.207, 14841.697]",17537.109
Dk =beta*epsilon/eta*k^2,1214.648,"[863.66, 504.758]",1982.963,"[1982.963, 1982.963]","[1662.425, 1982.963]","[1069.82, 2821.368]",1406.796
Fk^2/Dk=beta^3/eta*epsilon,88370.475,"[120367.31, 50958.27]",63307.342,"[63307.342, 63307.342]","[63307.342, 74071.322]","[50021.886, 93744.137]",218617.446
best fit_MedianLifetime,29467.96,185.13000000000102,29467.96,"[29287.89, 29653.09]","[29287.89, 29653.09]","[29287.89, 29653.09]",29467.96
best fit_MaxLifetime,39595.82,0,39595.82,"[39595.82, 39595.82]","[39595.82, 39595.82]","[39595.82, 39595.82]",39595.82
data_MedianLifetime,28105.0,181.04000000000087,28105.0,"[27927.88, 28286.04]","[27927.88, 28286.04]","[27927.88, 28286.04]",28105.0
data_MaxLifetime,39785,0,39785,"[39785, 39785]","[39785, 39785]","[39785, 39785]",39785
