,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,50942.565,"[11336.891, 9273.207]",51832.668,"[50304.11, 53407.673]","[45983.624, 58425.702]","[36191.156, 76490.02]",46236.322
beta/eta,817.858,"[74.413, 68.207]",810.708,"[789.616, 810.708]","[769.074, 854.596]","[692.109, 949.629]",824.86
xc^2/epsilon,771.968,"[224.013, 173.629]",756.961,"[730.014, 784.903]","[678.964, 907.371]","[489.966, 1303.79]",670.741
xc,38.975,"[69.44, 24.964]",50.279,"[41.161, 58.421]","[21.48, 87.172]","[5.293, 184.617]",62.013
eta,0.0008,"[0.00155, 0.000528]",0.00264,"[0.00198, 0.00284]","[0.000775, 0.00305]","[9.58e-05, 0.00379]",0.00134
beta,0.667,"[1.213, 0.431]",0.71,"[0.609, 0.828]","[0.564, 1.927]","[0.0894, 2.828]",1.106
epsilon,2.072,"[15.599, 1.829]",20.192,"[15.696, 29.462]","[2.093, 33.416]","[0.0328, 48.758]",5.733
sqrt(xc/eta),227.789,"[24.004, 21.716]",227.668,"[224.286, 231.101]","[214.438, 241.714]","[190.24, 276.568]",215.026
s= eta^0.5*xc^1.5/epsilon,3.46,"[0.58, 0.497]",3.384,"[3.311, 3.459]","[3.102, 3.773]","[2.606, 4.691]",3.119
beta*xc/epsilon,12.262,"[0.778, 0.731]",12.234,"[12.234, 12.234]","[11.959, 12.803]","[11.69, 14.674]",11.966
eta*xc/epsilon,0.0152,"[0.000905, 0.000854]",0.0151,"[0.0149, 0.0152]","[0.0145, 0.0156]","[0.0137, 0.0171]",0.0145
Fx=beta^2/eta*xc,12.548,"[5.294, 3.723]",12.658,"[11.74, 12.658]","[10.099, 14.714]","[6.429, 23.115]",14.716
Dx =beta*epsilon/eta*xc^2,1.026,"[0.399, 0.287]",1.036,"[0.98, 1.097]","[0.827, 1.228]","[0.526, 1.824]",1.23
Pk=beta*k/epsilon,0.164,"[0.324, 0.109]",0.052,"[0.0432, 0.0627]","[0.0381, 0.169]","[0.0297, 1.401]",0.0965
Fk=beta^2/eta*k,1029.941,"[1725.101, 644.909]",1320.887,"[1096.171, 1591.669]","[828.7, 3057.091]","[169.827, 4872.777]",1825.116
Dk =beta*epsilon/eta*k^2,7050.27,"[51276.8, 6198.07]",66974.732,"[45563.597, 86584.398]","[7549.487, 111935.617]","[124.011, 144709.47]",18916.972
Fk^2/Dk=beta^3/eta*epsilon,171.055,"[78.891, 53.991]",171.586,"[155.785, 171.586]","[128.415, 208.157]","[79.221, 337.417]",176.088
best fit_MedianLifetime,884.88,0.5099999999999909,884.88,"[884.39, 885.39]","[884.39, 885.39]","[884.39, 885.39]",884.88
best fit_MaxLifetime,1457.69,0,1457.69,"[1457.69, 1457.69]","[1457.69, 1457.69]","[1457.69, 1457.69]",1457.69
data_MedianLifetime,882.0,0.5199999999999818,882.0,"[881.52, 882.52]","[881.52, 882.52]","[881.52, 882.52]",882.0
data_MaxLifetime,1456,0,1456,"[1456, 1456]","[1456, 1456]","[1456, 1456]",1456
