,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood
xc/eta,2.306,"[0.00401, 0.004]",2.301,"[2.294, 2.304]","[2.289, 2.308]","[2.275, 2.333]",2.308
beta/eta,0.0235,"[0.00251, 0.00227]",0.04,"[0.0362, 0.0414]","[0.0278, 0.0472]","[0.011, 0.0539]",0.024
xc^2/epsilon,9.587,"[0.0218, 0.0217]",9.589,"[9.557, 9.6]","[9.473, 9.6]","[9.326, 9.622]",9.593
xc,185.68,"[34.576, 29.148]",176.413,"[157.676, 183.141]","[135.751, 212.72]","[44.166, 266.281]",185.273
eta,43.436,"[175.999, 34.838]",49.787,"[47.945, 55.748]","[44.463, 75.371]","[9.128, 186.263]",80.258
beta,0.671,"[6.253, 0.606]",0.0955,"[0.0797, 0.101]","[0.0555, 0.236]","[0.0211, 4.821]",1.93
epsilon,1021.173,"[24443.091, 980.222]",2471.807,"[1974.663, 3094.112]","[327.583, 21663.177]","[25.709, 45792.435]",3578.416
sqrt(xc/eta),1.519,"[0.00132, 0.00132]",1.519,"[1.516, 1.519]","[1.515, 1.521]","[1.508, 1.527]",1.519
s= eta^0.5*xc^1.5/epsilon,6.312,"[0.0149, 0.0148]",6.305,"[6.29, 6.309]","[6.233, 6.319]","[6.147, 6.358]",6.313
beta*xc/epsilon,0.0975,"[0.0104, 0.00938]",0.104,"[0.0946, 0.115]","[0.0946, 0.16]","[0.0489, 0.223]",0.0999
eta*xc/epsilon,4.114,"[0.0799, 0.0783]",4.107,"[4.103, 4.119]","[4.088, 4.126]","[4.013, 4.211]",4.155
Fx=beta^2/eta*xc,0.000158,"[0.000379, 0.000112]",7.9e-05,"[6.46e-05, 9.65e-05]","[5.65e-05, 0.000246]","[4.95e-05, 0.00122]",0.00025
Dx =beta*epsilon/eta*xc^2,0.00202,"[0.00174, 0.000933]",0.00138,"[0.00125, 0.00153]","[0.00117, 0.00246]","[0.00102, 0.00556]",0.00251
Pk=beta*k/epsilon,0.00088,"[0.00218, 0.000627]",0.000102,"[8.55e-05, 0.000122]","[3.71e-05, 0.000197]","[2.05e-05, 0.0019]",0.00027
Fk=beta^2/eta*k,0.00198,"[0.00249, 0.0011]",0.00176,"[0.0016, 0.00231]","[0.00111, 0.004]","[0.000214, 0.108]",0.0928
Dk =beta*epsilon/eta*k^2,11.552,"[357.435, 11.19]",1.248,"[1.14, 1.641]","[0.791, 5.88]","[0.382, 968.844]",344.158
Fk^2/Dk=beta^3/eta*epsilon,4.94e-06,"[0.000118, 4.74e-06]",1.27e-06,"[9.45e-07, 1.72e-06]","[7.74e-07, 4.65e-06]","[2.61e-08, 0.000113]",2.5e-05
best fit_MedianLifetime,1.68,0.03200000000000003,1.68,"[1.649, 1.712]","[1.649, 1.712]","[1.649, 1.712]",1.68
best fit_MaxLifetime,4.27,0,4.27,"[4.27, 4.27]","[4.27, 4.27]","[4.27, 4.27]",4.27
data_MedianLifetime,1.69,0.03200000000000003,1.69,"[1.659, 1.722]","[1.659, 1.722]","[1.659, 1.722]",1.69
data_MaxLifetime,4.69,0,4.69,"[4.69, 4.69]","[4.69, 4.69]","[4.69, 4.69]",4.69
