,drosophila_853,drosophila_707,drosophila_441,drosophila_217
xc/eta,100.606,255.043,323.203,585.496
beta/eta,46.886,6.921,31.446,1.018
xc^2/epsilon,24.017,105.277,139.087,456.506
xc,134.054,1865.315,923.645,493.355
eta,1.332,7.314,2.858,0.843
beta,62.474,50.62,89.866,0.858
epsilon,748.258,33049.914,6133.708,533.179
sqrt(xc/eta),10.03,15.97,17.978,24.197
s= eta^0.5*xc^1.5/epsilon,2.394,6.592,7.737,18.866
beta*xc/epsilon,11.192,2.857,13.532,0.794
eta*xc/epsilon,0.239,0.413,0.43,0.78
Fx=beta^2/eta*xc,21.85,0.188,3.06,0.00177
Dx =beta*epsilon/eta*xc^2,1.952,0.0657,0.226,0.00223
Pk=beta*k/epsilon,0.0417,0.000766,0.00733,0.000805
Fk=beta^2/eta*k,5858.223,700.717,5651.809,1.748
Dk =beta*epsilon/eta*k^2,140330.203,914991.867,771519.921,2171.961
Fk^2/Dk=beta^3/eta*epsilon,244.557,0.537,41.403,0.00141
beta^2/epsilon,5.216,0.0775,1.317,0.00138
k/beta,0.008,0.00988,0.00556,0.583
k/epsilon,0.000668,1.51e-05,8.15e-05,0.000938
best fit_MedianLifetime,46.45,22.94,49.91,31.89
best fit_MaxLifetime,74.97,47.93,75.3,55.69
data_MedianLifetime,47.0,22.0,49.0,31.0
data_MaxLifetime,66.0,47.0,82.0,53.0
