,Sweden_M_1910_hetro,Sweden_M_1910_hetro 95% CI,Sweden_F_1910_homo,Sweden_F_1910_homo 95% CI,Sweden_F_1910_hetro,Sweden_F_1910_hetro 95% CI,Denmark_M_1900,Denmark_M_1900 95% CI,Denmark_M_1900_homo,Denmark_M_1900_homo 95% CI,Denmark_M_1890,Denmark_M_1890 95% CI,Denmark_M_1890_homo,Denmark_M_1890_homo 95% CI,Denmark_F_1900,Denmark_F_1900 95% CI,Denmark_F_1890,Denmark_F_1890 95% CI,humans_M_combined,humans_M_combined 95% CI,humans_F_combined,humans_F_combined 95% CI
xc/eta,1087530.056,"[770053.31, 2227483.853]",483023.728,"[417394.492, 514220.298]",381345.49,"[292492.966, 473778.957]",5407921.429,"[2328890.302, 6627451.51]",1346487.776,"[1240152.049, 1544358.829]",990969.887,"[803002.217, 1753853.82]",1069369.579,"[992607.16, 1337146.804]",614158.423,"[527947.752, 714446.774]",390219.458,"[353722.088, 430482.66]",992226.945,"[803072.616, 1871455.971]",416619.969,"[353722.088, 459607.201]"
beta/eta,37835.965,"[36048.578, 39202.796]",53744.253,"[52270.431, 55259.631]",41587.147,"[40905.193, 42081.207]",33638.6,"[32145.489, 36382.794]",44693.42,"[43190.512, 45620.152]",38475.146,"[36508.291, 39029.717]",47804.44,"[46800.517, 49525.729]",40166.64,"[39987.717, 40708.229]",42796.832,"[41828.04, 43388.844]",38302.735,"[36262.838, 38878.721]",42704.661,"[41677.262, 43333.217]"
xc^2/epsilon,637.144,"[491.547, 1323.633]",170.508,"[153.219, 181.804]",238.195,"[186.579, 332.334]",2423.278,"[1266.712, 3914.129]",510.943,"[467.034, 558.98]",564.274,"[433.334, 876.196]",398.175,"[366.027, 717.795]",303.286,"[280.766, 402.453]",247.582,"[227.804, 375.414]",570.737,"[522.439, 1059.848]",247.582,"[227.804, 375.414]"
xc,66.869,"[18.797, 128.091]",20.959,"[18.144, 25.65]",47.175,"[26.55, 53.455]",137.988,"[14.811, 317.324]",30.148,"[14.416, 41.361]",37.508,"[20.305, 48.292]",86.395,"[83.193, 96.756]",56.16,"[42.53, 57.922]",20.437,"[10.361, 45.88]",37.622,"[20.358, 48.447]",21.058,"[17.745, 24.989]"
ExtH,5.952,"[5.89, 6.424]",6.192,"[6.175, 6.211]",6.376,"[6.139, 6.432]",6.673,"[6.641, 8.176]",7.129,"[6.768, 7.346]",6.973,"[6.897, 7.051]",6.651,"[6.641, 6.683]",6.702,"[6.649, 6.734]",6.079,"[6.069, 6.363]",6.964,"[6.859, 7.04]",6.366,"[6.303, 6.404]"
eta,2.79e-05,"[1.61e-05, 0.000129]",6.25e-05,"[5.71e-05, 6.83e-05]",9.7e-05,"[6.59e-05, 0.000105]",2.38e-05,"[4.72e-06, 5.07e-05]",5.74e-05,"[1.61e-05, 0.000102]",2.6e-05,"[2.35e-05, 4.4e-05]",5.44e-05,"[4.78e-05, 6.75e-05]",9.41e-05,"[8.06e-05, 0.000103]",1.99e-05,"[6.76e-06, 6.25e-05]",2.63e-05,"[2.21e-05, 4.45e-05]",2.04e-05,"[1.73e-05, 2.4e-05]"
beta,2.318,"[0.54, 4.225]",3.65,"[3.158, 3.982]",4.622,"[3.34, 4.739]",1.222,"[0.296, 1.728]",0.562,"[0.496, 0.637]",0.979,"[0.828, 1.619]",2.987,"[2.639, 3.382]",4.072,"[3.501, 4.737]",0.885,"[0.275, 2.215]",0.98,"[0.886, 1.733]",2.29,"[0.757, 4.739]"
epsilon,6.376,"[0.596, 27.056]",3.964,"[2.131, 4.695]",5.704,"[4.479, 7.264]",4.443,"[0.0542, 38.934]",0.478,"[0.377, 0.605]",0.924,"[0.646, 4.143]",17.273,"[13.667, 21.831]",7.638,"[0.704, 9.37]",2.131,"[0.42, 2.949]",0.924,"[0.646, 3.591]",1.956,"[0.356, 3.151]"
sqrt(xc/eta),1042.847,"[877.527, 1492.476]",694.999,"[646.061, 732.209]",617.532,"[527.94, 776.521]",2394.042,"[1571.054, 2574.384]",1160.383,"[1113.621, 1242.722]",995.475,"[896.104, 1324.331]",1034.103,"[996.297, 1100.329]",783.683,"[726.6, 845.25]",624.675,"[594.745, 656.112]",996.106,"[896.143, 1287.79]",645.461,"[614.535, 677.943]"
s= eta^0.5*xc^1.5/epsilon,0.603,"[0.529, 0.849]",0.249,"[0.241, 0.264]",0.477,"[0.358, 0.514]",1.35,"[0.836, 1.445]",0.405,"[0.374, 0.426]",0.571,"[0.515, 0.653]",0.37,"[0.352, 0.402]",0.461,"[0.427, 0.482]",0.464,"[0.366, 0.572]",0.571,"[0.515, 0.653]",0.475,"[0.44, 0.529]"
beta*xc/epsilon,21.97,"[20.271, 23.389]",19.29,"[19.002, 19.582]",27.006,"[25.692, 27.589]",18.854,"[18.339, 20.486]",16.992,"[15.51, 17.353]",21.652,"[20.248, 23.153]",15.891,"[15.581, 16.858]",24.034,"[22.945, 25.174]",24.495,"[21.0, 26.612]",21.652,"[20.248, 23.153]",24.755,"[21.434, 26.818]"
eta*xc/epsilon,0.000578,"[0.00056, 0.000614]",0.000364,"[0.000357, 0.000371]",0.000653,"[0.000642, 0.000672]",0.000559,"[0.000541, 0.000618]",0.000348,"[0.000341, 0.000353]",0.000563,"[0.000546, 0.000591]",0.000328,"[0.000323, 0.000338]",0.00065,"[0.000583, 0.000674]",0.000558,"[0.000534, 0.000593]",0.000574,"[0.000546, 0.000591]",0.000564,"[0.000544, 0.000615]"
Fx=beta^2/eta*xc,1290.083,"[541.839, 1958.91]",6605.09,"[5062.301, 9142.881]",5227.895,"[3673.604, 5987.744]",433.094,"[169.864, 591.664]",1205.825,"[626.204, 1462.112]",1566.64,"[1055.046, 2014.797]",2260.052,"[1057.489, 2708.023]",2941.086,"[2139.139, 3510.133]",4725.081,"[1396.249, 5316.747]",1540.797,"[1021.636, 2001.262]",1452.251,"[1019.369, 4914.6]"
Dx =beta*epsilon/eta*xc^2,60.025,"[29.019, 87.417]",334.316,"[279.185, 361.159]",194.128,"[136.035, 218.558]",13.716,"[8.614, 26.308]",85.13,"[46.69, 125.568]",66.772,"[53.267, 83.7]",72.229,"[65.211, 80.002]",137.26,"[101.238, 157.629]",117.908,"[64.88, 201.22]",69.236,"[42.439, 81.505]",117.908,"[69.09, 201.22]"
Pk=beta*k/epsilon,0.159,"[0.0695, 0.542]",0.38,"[0.344, 0.514]",0.501,"[0.402, 0.624]",0.0692,"[0.0474, 0.822]",0.281,"[0.071, 0.408]",0.274,"[0.131, 0.52]",0.3,"[0.0775, 0.407]",0.218,"[0.208, 0.274]",0.596,"[0.481, 0.678]",0.302,"[0.159, 0.52]",0.592,"[0.463, 0.687]"
