,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,134740.077,"[47277.235, 34997.431]",130528.905,"[127605.117, 139708.395]","[111387.504, 152959.662]","[49277.283, 167467.805]",166402.798,166402.798
beta/eta,505.796,"[114.24, 93.192]",441.384,"[429.59, 453.502]","[414.353, 573.487]","[414.353, 917.089]",428.49,428.49
xc^2/epsilon,1505.683,"[690.187, 473.254]",1440.765,"[1346.039, 1542.157]","[1229.354, 1688.532]","[453.408, 1934.552]",1941.984,1941.984
xc,97.991,"[140.227, 57.683]",140.572,"[130.912, 158.28]","[85.404, 165.973]","[14.068, 338.229]",143.817,143.817
eta,0.000747,"[0.000829, 0.000393]",0.000982,"[0.000882, 0.00102]","[0.000764, 0.00136]","[0.000225, 0.00399]",0.000864,0.000864
beta,0.363,"[0.375, 0.184]",0.379,"[0.338, 0.424]","[0.291, 0.718]","[0.127, 3.232]",0.37,0.37
epsilon,7.372,"[26.705, 5.777]",10.988,"[9.225, 13.089]","[7.305, 20.87]","[0.352, 151.587]",10.651,10.651
sqrt(xc/eta),377.721,"[55.849, 48.655]",369.566,"[365.403, 382.34]","[333.748, 391.101]","[217.013, 409.228]",407.925,407.925
s= eta^0.5*xc^1.5/epsilon,4.219,"[0.954, 0.778]",4.391,"[4.234, 4.554]","[3.75, 4.78]","[1.995, 5.268]",4.761,4.761
beta*xc/epsilon,5.373,"[0.724, 0.638]",6.073,"[5.845, 6.214]","[5.668, 6.917]","[5.015, 8.061]",5.001,5.001
eta*xc/epsilon,0.011,"[0.000895, 0.000827]",0.0114,"[0.0113, 0.0116]","[0.0107, 0.0117]","[0.00847, 0.0118]",0.0117,0.0117
Fx=beta^2/eta*xc,1.828,"[2.019, 0.959]",2.458,"[2.04, 2.75]","[1.209, 2.963]","[1.122, 20.673]",1.103,1.103
Dx =beta*epsilon/eta*xc^2,0.334,"[0.277, 0.151]",0.265,"[0.257, 0.309]","[0.242, 0.473]","[0.214, 2.442]",0.221,0.221
Pk=beta*k/epsilon,0.0233,"[0.0285, 0.0128]",0.0171,"[0.0157, 0.0198]","[0.0148, 0.0315]","[0.00783, 0.403]",0.0174,0.0174
Fk=beta^2/eta*k,343.813,"[303.589, 161.226]",328.745,"[290.107, 342.736]","[225.921, 478.367]","[191.23, 3253.644]",317.365,317.365
Dk =beta*epsilon/eta*k^2,12626.476,"[52622.696, 10183.106]",19877.958,"[16718.563, 23634.401]","[13272.982, 42084.356]","[1320.274, 376972.625]",18254.642,18254.642
Fk^2/Dk=beta^3/eta*epsilon,11.554,"[15.589, 6.636]",15.649,"[13.702, 17.874]","[9.613, 25.476]","[5.17, 137.168]",5.518,5.518
beta^2/epsilon,0.0192,"[0.0139, 0.00806]",0.0253,"[0.0227, 0.0282]","[0.017, 0.0327]","[0.0127, 0.112]",0.0129,0.0129
k/beta,1.375,"[1.537, 0.726]",1.319,"[1.178, 1.477]","[0.872, 1.851]","[0.18, 2.696]",1.35,1.35
k/epsilon,0.0733,"[0.285, 0.0583]",0.0455,"[0.0429, 0.0542]","[0.0302, 0.0769]","[0.0033, 0.792]",0.0469,0.0469
best fit_MedianLifetime,749.25,0.5099999999999909,749.25,"[748.76, 749.76]","[748.76, 749.76]","[748.76, 749.76]",749.25,
best fit_MaxLifetime,1500.0,0,1500.0,"[1500.0, 1500.0]","[1500.0, 1500.0]","[1500.0, 1500.0]",1500.0,
data_MedianLifetime,770.0,0.5199999999999818,770.0,"[769.52, 770.52]","[769.52, 770.52]","[769.52, 770.52]",770.0,
data_MaxLifetime,1338.0,0,1338.0,"[1338.0, 1338.0]","[1338.0, 1338.0]","[1338.0, 1338.0]",1338.0,
