,death times,events
0,916,1
1,1099,1
2,666,1
3,957,1
4,553,1
5,1112,1
6,686,1
7,924,1
8,292,1
9,454,1
10,847,1
11,974,1
12,875,1
13,736,1
14,757,1
15,868,1
16,847,1
17,1106,1
18,620,1
19,564,1
20,929,1
21,903,1
22,961,1
23,961,1
24,884,1
25,371,1
26,273,1
27,763,1
28,540,1
29,433,1
30,489,1
31,685,1
32,417,1
33,1031,1
34,844,1
35,612,1
36,593,1
37,324,1
38,437,1
39,876,1
40,791,1
41,763,1
42,467,1
43,776,1
44,1040,1
45,625,1
46,940,1
47,757,1
48,88,1
49,522,1
50,554,1
51,366,1
52,816,1
53,299,1
54,967,1
55,499,1
56,875,1
57,806,1
58,582,1
59,714,1
60,365,1
61,714,1
62,813,1
63,831,1
64,831,1
65,665,1
66,1108,1
67,784,1
68,498,1
69,915,1
70,703,1
71,841,1
72,854,1
73,854,1
74,818,1
75,860,1
76,391,1
77,791,1
78,516,1
79,750,1
80,750,1
81,822,1
82,781,1
83,838,1
84,344,1
85,478,1
86,486,1
87,819,1
88,953,1
89,876,1
90,463,1
91,581,1
92,1071,1
93,830,1
94,1054,1
95,830,1
96,729,1
97,757,1
98,408,1
99,493,1
100,611,1
101,583,1
102,504,1
103,561,1
104,905,1
105,903,1
106,511,1
107,848,1
108,420,1
109,540,1
110,1064,1
111,936,1
112,875,1
113,730,1
114,955,1
115,857,1
116,1216,1
117,659,1
118,600,1
119,860,1
120,998,1
121,553,1
122,757,1
123,751,1
124,479,1
125,717,1
126,729,1
127,373,1
128,824,1
129,674,1
130,847,1
131,658,1
132,686,1
133,877,1
134,1059,1
135,779,1
136,765,1
137,626,1
138,729,1
139,863,1
140,966,1
141,409,1
142,635,1
143,505,1
144,1065,1
145,363,1
146,560,1
147,753,1
148,546,1
149,982,1
150,1132,1
151,886,1
152,524,1
153,474,1
154,848,1
155,774,1
156,932,1
157,837,1
158,681,1
159,798,1
160,423,1
161,543,1
162,570,1
163,382,1
164,798,1
165,1082,1
166,619,1
167,910,1
168,813,1
169,929,1
170,660,1
171,775,1
172,592,1
173,758,1
174,988,1
175,927,1
176,671,1
177,808,1
178,1073,1
179,948,1
180,604,1
181,1111,1
182,311,1
183,955,1
184,140,1
185,1070,1
186,819,1
187,507,1
188,654,1
189,627,1
190,887,1
191,640,1
192,386,1
193,878,1
194,896,1
195,635,1
196,893,1
197,829,1
198,809,1
199,562,1
200,1072,1
201,1041,1
202,822,1
203,697,1
204,774,1
205,479,1
206,580,1
207,635,1
208,306,1
209,824,1
210,861,1
211,885,1
212,638,1
213,197,1
214,1100,1
215,417,1
216,703,1
217,973,1
218,452,1
219,665,1
220,572,1
221,777,1
222,961,1
223,792,1
224,1070,1
225,481,1
226,693,1
227,586,1
228,614,1
229,27,1
230,685,1
231,609,1
232,760,1
233,370,1
234,684,1
235,837,1
236,550,1
237,705,1
238,739,1
239,825,1
240,788,1
241,929,1
242,747,1
243,624,1
244,886,1
245,552,1
246,823,1
247,242,1
248,322,1
249,1111,1
250,538,1
251,789,1
252,287,1
253,561,1
254,724,1
255,441,1
256,937,1
257,643,1
258,774,1
259,844,1
260,985,1
261,693,1
262,1119,1
263,697,1
264,893,1
265,608,1
266,557,1
267,307,1
268,876,1
269,622,1
270,763,1
271,923,1
272,463,1
273,692,1
274,1029,1
275,944,1
276,756,1
277,972,1
278,958,1
279,940,1
280,856,1
281,575,1
282,804,1
283,1001,1
284,674,1
285,1064,1
286,1220,1
287,794,1
288,1035,1
289,469,1
290,866,1
291,357,1
292,769,1
293,894,1
294,810,1
295,338,1
296,1006,1
297,545,1
298,1084,1
299,1124,1
300,849,1
301,857,1
302,892,1
303,893,1
304,502,1
305,752,1
306,998,1
307,1077,1
308,671,1
309,793,1
310,1116,1
311,983,1
312,1091,1
313,548,1
314,730,1
315,850,1
316,946,1
317,870,1
318,1027,1
319,1056,1
320,908,1
321,859,1
322,806,1
323,597,1
324,488,1
325,889,1
326,969,1
327,569,1
328,170,1
329,344,1
330,604,1
331,470,1
332,51,1
333,801,1
334,850,1
335,797,1
336,901,1
337,1027,1
338,559,1
339,776,1
340,1022,1
341,1029,1
342,815,1
343,1022,1
344,288,1
345,936,1
346,575,1
347,736,1
348,811,1
349,817,1
350,724,1
351,404,1
352,1189,1
353,842,1
354,520,1
355,615,1
356,570,1
357,397,1
358,1088,1
359,993,1
360,797,1
361,719,1
362,431,1
363,348,1
364,840,1
365,439,1
366,852,1
367,759,1
368,826,1
369,633,1
370,699,1
371,904,1
372,874,1
373,808,1
374,1042,1
375,829,1
376,903,1
377,896,1
378,587,1
379,972,1
380,1103,1
381,453,1
382,911,1
383,807,1
384,260,1
385,1060,1
386,581,1
387,605,1
388,958,1
389,923,1
390,672,1
391,784,1
392,862,1
393,546,1
394,897,1
395,986,1
396,695,1
397,1025,1
398,460,1
399,965,1
400,593,1
401,744,1
402,795,1
403,940,1
404,748,1
405,724,1
406,702,1
407,706,1
408,488,1
409,864,1
410,636,1
411,869,1
412,456,1
413,696,1
414,631,1
415,865,1
416,1182,1
417,1008,1
418,832,1
419,1007,1
420,414,1
421,543,1
422,1103,1
423,696,1
424,930,1
425,927,1
426,847,1
427,504,1
428,635,1
429,762,1
430,1023,1
431,896,1
432,485,1
433,396,1
434,873,1
435,899,1
436,803,1
437,948,1
438,515,1
439,920,1
440,796,1
441,635,1
442,609,1
443,497,1
444,295,1
445,830,1
446,740,1
447,1197,1
448,878,1
449,648,1
450,676,1
451,812,1
452,629,1
453,892,1
454,364,1
455,650,1
456,564,1
457,476,1
458,961,1
459,952,1
460,791,1
461,997,1
462,850,1
463,920,1
464,795,1
465,731,1
466,842,1
467,677,1
468,1005,1
469,1136,1
470,800,1
471,733,1
472,521,1
473,893,1
474,939,1
475,542,1
476,888,1
477,569,1
478,696,1
479,866,1
480,1032,1
481,866,1
482,393,1
483,925,1
484,918,1
485,1173,1
486,520,1
487,639,1
488,884,1
489,892,1
490,976,1
491,425,1
492,834,1
493,854,1
494,503,1
495,1137,1
496,859,1
497,957,1
498,766,1
499,1212,1
500,496,1
501,1123,1
502,1002,1
503,672,1
504,1153,1
505,782,1
506,747,1
507,876,1
508,762,1
509,949,1
510,924,1
511,488,1
512,364,1
513,941,1
514,882,1
515,831,1
516,561,1
517,792,1
518,375,1
519,990,1
520,209,1
521,794,1
522,832,1
523,647,1
524,935,1
525,1060,1
526,728,1
527,742,1
528,677,1
529,889,1
530,780,1
531,933,1
532,351,1
533,464,1
534,980,1
535,749,1
536,910,1
537,244,1
538,568,1
539,927,1
540,1022,1
541,826,1
542,860,1
543,673,1
544,870,1
545,705,1
546,1005,1
547,932,1
548,567,1
549,577,1
550,1140,1
551,569,1
552,704,1
553,1102,1
554,586,1
555,639,1
556,624,1
557,425,1
558,261,1
559,1003,1
560,725,1
561,1021,1
562,420,1
563,724,1
564,425,1
565,850,1
566,606,1
567,1053,1
568,469,1
569,982,1
570,468,1
571,1125,1
572,853,1
573,782,1
574,899,1
575,963,1
576,1028,1
577,868,1
578,780,1
579,778,1
580,505,1
581,587,1
582,923,1
583,826,1
584,498,1
585,792,1
586,967,1
587,1091,1
588,881,1
589,1043,1
590,1093,1
591,541,1
592,839,1
593,377,1
594,934,1
595,1039,1
596,839,1
597,683,1
598,966,1
599,649,1
600,450,1
601,803,1
602,573,1
603,349,1
604,377,1
605,818,1
606,680,1
607,705,1
608,470,1
609,860,1
610,345,1
611,664,1
612,562,1
613,783,1
614,372,1
615,646,1
616,413,1
617,707,1
618,1110,1
619,728,1
620,671,1
621,526,1
622,1077,1
623,371,1
624,878,1
625,1018,1
626,348,1
627,668,1
628,1200,1
629,629,1
630,846,1
631,706,1
632,980,1
633,720,1
634,569,1
635,955,1
636,393,1
637,1091,1
638,612,1
639,573,1
640,718,1
641,827,1
642,650,1
643,513,1
644,742,1
645,452,1
646,816,1
647,626,1
648,1182,1
649,478,1
650,946,1
651,955,1
652,937,1
653,480,1
654,551,1
655,698,1
656,979,1
657,640,1
658,731,1
659,761,1
660,749,1
661,362,1
662,949,1
663,674,1
664,1035,1
665,852,1
666,266,1
667,430,1
668,1177,1
669,855,1
670,339,1
671,583,1
672,874,1
673,1023,1
674,1078,1
675,1109,1
676,735,1
677,865,1
678,1059,1
679,786,1
680,836,1
681,747,1
682,517,1
683,365,1
684,847,1
685,1047,1
686,815,1
687,1048,1
688,871,1
689,357,1
690,751,1
691,702,1
692,1190,1
693,731,1
694,864,1
695,659,1
696,808,1
697,462,1
698,689,1
699,953,1
